2012,2013,2014,2015,2016,2017,2018,2019
,1,,,,,,
,,,,,,,
1,2,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2,1,2,2,3,,1,
2,4,4,5,8,,4,
,,,,,,,
6,10,12,11,27,2,1,
,,,,,,,
27,24,11,,8,6,9,6
35,46,28,22,33,26,19,11
94,104,89,100,137,74,63,41
143,141,151,150,144,113,99,101
,,,,,,,
160,144,181,218,198,150,137,121
,,,,,,,
1,,,,1,1,1,
3,3,1,1,3,1,1,1
6,7,6,10,10,9,6,4
9,17,11,19,17,15,13,15
,,,,,,,
8,12,14,27,14,22,14,17
,,1,,,,,
,,2,,,,,1
,2,3,1,,,,2
2,5,13,4,7,4,1,2
1,3,16,6,7,9,11,3
,,,,,,,
6,4,14,18,11,13,16,10
1,1,,3,,,,
1,1,5,,4,3,8,4
4,3,6,5,6,9,7,7
16,13,9,10,10,13,17,19
15,12,16,13,25,20,28,17
,,,,,,,
17,21,27,30,34,25,27,47
,,,,,,,
,,,,,,,
,,,,,,,
,1,,,,,1,1
,,,,1,5,2,
,,,,,,,
,,,,3,,9,10
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,3,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1,,1,,,,,
1,,,,,,1,
,,,2,,,1,
,1,4,1,,1,1,
,,,,,,,
,,13,3,1,,1,3
274,230,10,19,19,55,,
1315,1006,824,,578,650,608,731
2972,2242,1773,1762,1786,1734,1362,1331
5133,4535,3896,3973,4026,4088,3443,3248
5099,4989,4558,5097,4802,4428,4008,3997
,,,,,,,
5600,5788,5541,6783,6528,5611,4857,5283
,,,,,,,
,,,,,,,
,,,,,,,
,1,,,,,,
1,,,1,,,1,
,,,,,,,
,1,,1,,1,1,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,1,,
,,1,3,3,,1,1
,,2,6,6,3,,7
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,1,,
,,,,,,,
,,,,,,,
,,,,1,,,
,,,,,,,1
,,1,2,1,2,,
,,3,,,5,1,2
,,1,1,1,1,1,1
,,9,6,3,4,4,8
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,1,
,,,,,2,,
,,,,,1,,
,,,,,,,
,,,,,,,
,,,,,,,
,,1,1,1,,,
,,,,,,,
,,,,1,,,1
3,6,,,,,,
,,1,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,1,,,,,,
,,,,,,,
,,,,,,,
,,,1,,,,
,,,,1,,,
,,,,,,,
1,,1,1,,,,1
,,,,,,,
,,,,5,3,,1
,,7,2,10,4,3,6
,,19,14,17,12,16,24
,,96,94,101,65,68,48
,,253,237,272,171,129,113
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,1,,2,3,9,8
,,11,7,2,6,9,10
,,12,14,19,18,15,23
,,20,24,37,27,25,32
,,30,31,46,29,39,46
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,1,,1,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,1,,3
,,,,,,,
,1,,,1,,,
4,,,,,,1,
,,1,,,3,,
1,,,1,1,4,2,
,,,,,,,
2,2,1,2,2,6,1,3
,,,,,,,
,,1,,,,,
,,,1,,,,
,,,,1,,,
,,3,,,,,
,,10,,6,,,
1,,,,,,,
,,,,,,,
,1,,,,,1,
9,,,,,1,2,
6,2,,,,8,4,
,,,,,,,
9,5,,,,11,3,
,1,,,,,,
,,,,,,,
,,,,,,,
,,,,,,1,
,,,,,,1,
,,,,,,,
,,,,,,2,1
23,20,1,7,3,6,,
119,111,124,,128,110,82,74
286,231,243,261,210,189,144,117
1196,1002,1017,942,884,915,744,633
1267,1133,1249,1252,1222,1106,1086,1035
,,,,,,,
1295,1175,1269,1573,1474,1297,1245,1430
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,3,,,,,
,,,,,,,
,,2,,,,,
1,,,,,,,
,,,,,,,
,,,,,,,
,,,1,,,,
,1,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,1,1,,
,,5,3,6,2,2,5
,,11,20,17,1,4,12
,,38,27,34,12,5,4
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
47,45,,,1,,,
,,,,,,1,
1,,,,,,,
,,,,,2,,
1,,,,1,,,
,,,,,,,
,1,2,1,2,4,2,2
,,,,,1,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,1,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,1,,
,,1,,2,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,1,,,,,
,,,,,,,
,,,,,,,
1,,,,,,,
1,1,,,,,,
1,,,,,,,
,,,,,,,
1,2,,,,,,
1,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,1,,
,,,,,,,
,,,1,,,,1
1,,,,,4,6,5
2,1,,1,1,1,6,16
6,1,8,2,2,14,14,37
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
9,2,1,,1,2,,
67,55,18,,16,12,20,34
207,131,55,55,71,40,56,56
585,355,217,234,309,258,203,196
491,408,183,244,261,242,194,205
,,,,,,,
393,402,171,218,273,252,210,248
12,9,2,,4,9,,
512,375,332,,197,279,227,333
1340,1016,845,782,831,923,647,673
1158,938,840,885,986,1090,889,809
797,652,610,694,654,768,580,626
,,,,,,,
491,414,436,606,536,520,426,474
,,,1,,,,
,,28,,17,14,15,12
,,56,56,37,42,27,20
,,88,97,93,51,38,38
,,235,208,184,123,66,62
,,253,323,238,145,65,55
,,,,,3,,
3,3,5,,2,4,1,3
18,20,17,11,19,9,17,13
157,167,170,179,169,189,145,119
365,437,418,437,435,387,323,310
,,,,,,,
588,580,637,733,702,617,513,500
,,,,,,,
,,,,,,,
,,,,,1,1,
,,1,2,2,1,,2
1,,1,3,2,4,2,
,,,,,,,
